"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"766","1401000063","太原市医疗保险管理服务中心网站","http://ybzx.taiyuan.gov.cn","太原市医疗保险管理服务中心","正常"
"767","1401000064","太原市能源局网站","http://nyj.taiyuan.gov.cn","太原市能源局","正常"
"768","1401000068","信用太原","http://credit.taiyuan.gov.cn/","太原市发展和改革委员会","正常"
"769","1401000069","太原市退役军人事务局","http://tytyjrswj.taiyuan.gov.cn/p212/index.html","太原市人民政府办公室","正常"
"770","1401050005","太原市小店区人民政府门户网站","http://www.tyxd.gov.cn","太原市小店区人民政府办公室","正常"
"771","1401060001","太原市迎泽区人民政府门户网站","http://www.yingze.gov.cn/","太原市迎泽区电子政务中心","正常"
"772","1401070001","太原市杏花岭区人民政府门户网站","http://www.sxtyxhl.gov.cn","中共太原市杏花岭区委区政府信息中心","正常"
"773","1401080003","太原市尖草坪区人民政府门户网站","http://www.tyjcp.gov.cn","太原市尖草坪区融媒体中心","正常"
"774","1401090002","太原市万柏林区人民政府门户网站","http://www.sxtywbl.gov.cn","万柏林区人民政府","正常"
"775","1401100004","太原市晋源区人民政府门户网站","http://www.jinyuan.gov.cn","太原市晋源区人民政府办公室","正常"
"776","1401210002","太原市清徐县人民政府门户网站","http://www.qx.gov.cn/","清徐县经济信息中心","正常"
"777","1401220001","太原市阳曲县人民政府门户网站","http://www.sxyangqu.gov.cn","阳曲县人民政府电子政务中心","正常"
"778","1401230001","太原市娄烦县人民政府门户网站","http://www.sxlf.gov.cn","娄烦县人民政府办公室","正常"
"779","1401810001","太原市古交市人民政府门户网站","http://www.sxgujiao.gov.cn","古交市人民政府","正常"
"780","1402000004","大同市人民政府门户网站","http://www.dt.gov.cn/","大同市人民政府信息化中心","正常"
"781","1402000007","大同市发展和改革委员会网站","http://fgw.dt.gov.cn/","大同市发展和改革委员会","正常"
"782","1402000010","大同市生态环境局网站","http://sthjj.dt.gov.cn/","大同市生态环境局","正常"
"783","1402000013","大同市公安局网站","http://gaj.dt.gov.cn","大同市公安局政治部","正常"
"784","1402000021","大同市应急管理局网站","http://yjj.dt.gov.cn","大同市应急管理局","正常"
"785","1402000036","大同市规划和自然资源局网站","http://zrzy.dt.gov.cn/","大同市规划和自然资源局","正常"
"786","1402000038","全国公共资源交易平台（山西省·大同市）","http://ggzyjy.dt.gov.cn","大同市公共资源交易中心","正常"
"787","1402000039","信用大同市","https://credit.dt.gov.cn","大同市发展和改革委员会","正常"
"788","1402120001","大同市新荣区人民政府门户网站","http://xrq.dt.gov.cn","大同市新荣区人民政府办公室","正常"
"789","1402130001","大同市平城区人民政府门户网站","http://www.pingcheng.gov.cn/","大同市平城区人民政府办公室","正常"
"790","1402140001","大同市云冈区人民政府门户网站","http://www.yungang.gov.cn/","大同市云冈区人民政府办公室","正常"
"791","1402150001","大同市云州区人民政府门户网站","http://www.yunzhou.gov.cn/","大同市云州区人民政府办公室","正常"
"792","1402210003","阳高县人民政府门户网站","http://www.dtyg.gov.cn","阳高县人民政府办公室","正常"
"793","1402220001","天镇县人民政府门户网站","http://www.dttz.gov.cn","天镇县人民政府办公室","正常"
"794","1402230001","广灵县人民政府门户网站","http://www.sx-guangling.gov.cn","广灵县人民政府办公室","正常"
"795","1402240003","灵丘县人民政府门户网站","http://www.lingqiu.gov.cn","灵丘县人民政府办公室","正常"
"796","1402250003","浑源县人民政府门户网站","http://www.hunyuan.gov.cn","浑源县人民政府办公室","正常"
"797","1402260001","左云县人民政府门户网站","http://www.zuoyun.gov.cn","左云县人民政府办公室","正常"
"798","1402900001","大同经济技术开发区网站","http://kfq.dt.gov.cn/","大同经济技术开发区信息中心","正常"
"799","1403000006","阳泉市审计局网站","http://yqsj.yq.gov.cn/","阳泉市审计局","正常"
"800","1403000008","阳泉市水利局网站","http://slj.yq.gov.cn/","阳泉市水利局","正常"
"801","1403000009","阳泉市能源局网站","http://nyj.yq.gov.cn/","阳泉市能源局","正常"
"802","1403000010","阳泉市统计局","http://tjj.yq.gov.cn/","阳泉市统计局","正常"
"803","1403000012","阳泉市农业农村局网站","http://nyncj.yq.gov.cn","阳泉市农业农村局","正常"
"804","1403000013","阳泉市人力资源和社会保障局网站","http://rsj.yq.gov.cn/","阳泉市人力资源和社会保障局","正常"
"805","1403000015","阳泉市体育局网站","http://sport.yq.gov.cn/","阳泉市体育局","正常"
"806","1403000016","阳泉市住房和城乡建设局网站","http://zjj.yq.gov.cn","阳泉市住房和城乡建设局","正常"
"807","1403000019","阳泉市科学技术局网站","http://kjj.yq.gov.cn","阳泉市科学技术局","正常"
"808","1403000020","阳泉市工业和信息化局网站","http://gxj.yq.gov.cn/","阳泉市工业和信息化局","正常"
"809","1403000022","阳泉市交通运输局网站","http://jtysj.yq.gov.cn","阳泉市交通运输局","正常"
"810","1403000024","阳泉市规划和自然资源局网站","http://ghhzy.yq.gov.cn","阳泉市规划和自然资源局","正常"
"811","1403000026","阳泉高新技术产业开发区网站","http://kfq.yq.gov.cn","山西省阳泉高新技术产业开发区管理委员会","正常"
"812","1403000028","阳泉市文化和旅游局（阳泉市文物局）网站","http://wlj.yq.gov.cn/","阳泉市文化和旅游局（阳泉市文物局）","正常"
"813","1403000029","阳泉市市场监督管理局网站","http://sgj.yq.gov.cn/","阳泉市市场监督管理局","正常"
"814","1403000031","阳泉市人民防空办公室网站","http://rfb.yq.gov.cn/","阳泉市人民防空办公室","正常"
"815","1403000033","阳泉市教育局网站","http://jyj.yq.gov.cn/","阳泉市教育局","正常"
"816","1403000034","阳泉市发展和改革委员会网站","http://fgw.yq.gov.cn/","阳泉市发展和改革委员会","正常"
"817","1403000035","阳泉市应急管理局网站","http://yjj.yq.gov.cn/","阳泉市应急管理局","正常"
"818","1403000040","阳泉市财政局网站","http://czj.yq.gov.cn","阳泉市财政局","正常"
"819","1403000041","阳泉市人民政府门户网站","http://www.yq.gov.cn","阳泉市人民政府办公室","正常"
"820","1403000042","阳泉市生态环境局网站","http://sthjj.yq.gov.cn/","阳泉市生态环境监控中心","正常"
"821","1403000043","阳泉市公安局网站","http://gaj.yq.gov.cn","阳泉市公安局","正常"
"822","1403000045","阳泉招商网","http://zszx.yq.gov.cn","阳泉市招商中心","正常"
"823","1403000046","阳泉住房公积金管理中心网站","http://yqgjj.yq.gov.cn/","阳泉住房公积金管理中心","正常"
"824","1403000048","阳泉市民政局网站","http://mzj.yq.gov.cn/","阳泉市民政局","正常"
"825","1403000050","全国公共资源交易平台（山西省·阳泉市）","http://ggzy.yq.gov.cn/","阳泉市行政审批服务管理局","正常"
"826","1403000051","信用中国（山西阳泉）","http://credit.yq.gov.cn","阳泉市发展和改革委员会","正常"
"827","1403020001","阳泉市城区人民政府门户网站","http://www.yqcq.gov.cn/","阳泉市城区信息中心","正常"
"828","1403030001","阳泉市矿区人民政府门户网站","http://www.yqkq.gov.cn/","山西省阳泉市矿区人民政府办公室","正常"
"829","1403110003","阳泉市郊区人民政府门户网站","http://www.yqjq.gov.cn","阳泉市郊区人民政府","正常"
"830","1403210010","平定县人民政府门户网站","http://www.pd.gov.cn/","平定县信息数据中心","正常"
"831","1403220004","盂县人民政府门户网站","http://www.sxyx.gov.cn","盂县人民政府","正常"
"832","1404000004","长治市人民政府门户网站","http://www.changzhi.gov.cn/","长治市人民政府办公室","正常"
"833","1404000006","长治市商务局网站","http://swj.changzhi.gov.cn/","长治市商务局","正常"
"834","1404000008","长治市水利局网站","http://slj.changzhi.gov.cn/","长治市水利局","正常"
"835","1404000013","长治市生态环境局网站","http://sthjj.changzhi.gov.cn","长治市生态环境局","正常"
"836","1404000014","长治市人民政府招商中心网站","http://www.zszx.changzhi.gov.cn","长治市人民政府招商中心","正常"
"837","1404000028","长治市住房公积金管理中心网站","https://zfgjj.changzhi.gov.cn/","长治市住房公积金管理中心","正常"
"838","1404000036","长治市规划和自然资源局网站","http://ghhzrzyj.changzhi.gov.cn/","长治市规划和自然资源局","正常"
"839","1404000037","长治市科学技术局网站","http://kxjsj.changzhi.gov.cn","长治市科学技术局","正常"
"840","1404000038","长治市公安局网站","http://gaj.changzhi.gov.cn","山西省长治市公安局","正常"
"841","1404000039","长治市农业农村局网站","http://nyncj.changzhi.gov.cn/","长治市农业农村局","正常"
"842","1404000046","长治市交通运输局网站","http://jtysj.changzhi.gov.cn","长治市交通运输局","正常"
"843","1404000050","长治市人力资源和社会保障局网站","http://rsj.changzhi.gov.cn","长治市人力资源和社会保障局","正常"
"844","1404000051","长治市卫生健康委员会网站","http://wjw.changzhi.gov.cn/","长治市卫生健康委员会","正常"
"845","1404000052","长治市教育局网站","https://jyj.changzhi.gov.cn/","长治市教育局","正常"
"846","1404000053","长治市发展和改革委员会网站","http://fgw.changzhi.gov.cn","长治市发展和改革委员会","正常"
"847","1404000054","长治市住房和城乡建设局网站","https://zjj.changzhi.gov.cn/","长治市住房和城乡建设局","正常"
"848","1404000056","长治市财政局网站","http://czj.changzhi.gov.cn/","长治市财政局","正常"
"849","1404000057","长治国家高新技术产业开发区网站","http://gxq.changzhi.gov.cn","长治高新区管委会综合办公室","正常"
"850","1404000058","长治市统计局网站","http://tjj.changzhi.gov.cn","长治市统计局","正常"
"851","1404000061","全国公共资源交易平台（山西省·长治市）网站","http://ggzy.changzhi.gov.cn","长治市行政审批服务管理局","正常"
"852","1404000062","信用中国(山西长治)网站","http://credit.changzhi.gov.cn","长治市发展和改革委员会","正常"
"853","1404020001","长治市潞州区人民政府门户网站","http://www.luzhouqu.gov.cn","长治市潞州区人民政府办公室","正常"
"854","1404210006","长治市上党区人民政府门户网站","http://www.shangdangqu.gov.cn","长治市上党区人民政府办公室","正常"
"855","1404230011","襄垣县人民政府门户网站","http://www.xiangyuan.gov.cn/","襄垣县人民政府办公室","正常"
"856","1404240004","长治市屯留区人民政府门户网站","http://www.tunliu.gov.cn","长治市屯留区人民政府信息中心","正常"
"857","1404250004","平顺县人民政府门户网站","http://www.pingshun.gov.cn","平顺县人民政府办公室","正常"
"858","1404260003","黎城县人民政府门户网站","http://www.sxlc.gov.cn","黎城县人民政府办公室","正常"
"859","1404270004","壶关县人民政府门户网站","http://www.huguan.gov.cn","壶关县人民政府办公室","正常"
"860","1404280003","长子县人民政府门户网站","http://www.zhangzi.gov.cn","长子县人民政府办公室","正常"
"861","1404290013","武乡县人民政府门户网站","http://www.wuxiang.gov.cn/","武乡县人民政府办公室","正常"
"862","1404300001","沁县人民政府门户网站","http://www.qinxian.gov.cn","沁县人民政府办公室","正常"
"863","1404310003","沁源县人民政府门户网站","http://www.qinyuan.gov.cn","沁源县人民政府办公室","正常"
"864","1404810002","长治市潞城区人民政府门户网站","http://www.lc.gov.cn","长治市潞城区人民政府办公室","正常"
"865","1405000006","晋城市人民政府门户网站","http://www.jcgov.gov.cn/","晋城市人民政府办公室","正常"
"866","1405000011","晋城市住房和城乡建设局网站","http://zjj.jcgov.gov.cn","晋城市住房和城乡建设局","正常"
"867","1405000014","晋城市人力资源和社会保障局网站","http://rsj.jcgov.gov.cn/","晋城市人力资源和社会保障局","正常"
"868","1405000016","晋城市投资促进中心","http://zsj.jcgov.gov.cn/","晋城市投资促进中心","正常"
"869","1405000019","晋城市应急管理局网站","http://yjj.jcgov.gov.cn/","晋城市应急管理局","正常"
"870","1405000020","晋城市交通运输局网站","http://jtj.jcgov.gov.cn/","晋城市交通运输局","正常"
"871","1405000024","晋城市统计局网站","http://tjj.jcgov.gov.cn/","晋城市统计局","正常"
"872","1405000025","晋城市教育局网站","http://jyj.jcgov.gov.cn","晋城市教育局","正常"
"873","1405000026","晋城市市场监督管理局网站","http://scjgj.jcgov.gov.cn","晋城市市场监督管理局","正常"
"874","1405000027","晋城市卫生健康委员会网站","http://wjw.jcgov.gov.cn/","晋城市卫生健康委员会","正常"
"875","1405000028","晋城市水务局网站","http://swj.jcgov.gov.cn/","晋城市水务局","正常"
"876","1405000033","晋城市财政局","http://czj.jcgov.gov.cn/","晋城市财政局","正常"
"877","1405000034","晋城市民政局网站","http://mzj.jcgov.gov.cn","晋城市民政局","正常"
"878","1405000036","晋城市生态环境局","http://sthjj.jcgov.gov.cn","晋城市生态环境局","正常"
"879","1405000042","晋城市能源局网站","http://nyj.jcgov.gov.cn/","晋城市能源局","正常"
"880","1405000043","晋城市发展和改革委员会网站","http://fgw.jcgov.gov.cn","晋城市发展和改革委员会","正常"
"881","1405000045","晋城市工业和信息化局（晋城市人民政府国有资产监督管理委员会）网站","http://gxj.jcgov.gov.cn/","晋城市工业和信息化局（晋城市人民政府国有资产监督管理委员会）","正常"
"882","1405000049","晋城市商务局网站","http://jcswj.jcgov.gov.cn","晋城市商务局","正常"
"883","1405000050","晋城市规划和自然资源局","http://ghhzrzyj.jcgov.gov.cn/","晋城市规划和自然资源局(市林业局)","正常"
"884","1405000051","晋城市司法局网站","http://sfj.jcgov.gov.cn","晋城市司法局","正常"
"885","1405000052","晋城市公安局网站","http://gaj.jcgov.gov.cn","晋城市公安局","正常"
"886","1405000055","信用中国（山西晋城）","https://credit.jcgov.gov.cn/","晋城市发展和改革委员会","正常"
"887","1405000056","全国公共资源交易平台（山西省·晋城市）","https://ggzy.jcgov.gov.cn/","晋城市人民政府办公室","正常"
"888","1405020003","晋城市城区人民政府门户网站","http://www.jccq.gov.cn/","晋城市城区人民政府办公室","正常"
"889","1405210009","沁水县人民政府门户网站","http://www.qinshui.gov.cn/","沁水县人民政府办公室","正常"
"890","1405220013","阳城县人民政府门户网站","http://www.yczf.gov.cn/","阳城县人民政府办公室","正常"
"891","1405240005","陵川县人民政府门户网站","http://www.lczf.gov.cn ","陵川县人民政府办公室","正常"
"892","1405250013","泽州县人民政府门户网站","http://www.zezhou.gov.cn","泽州县人民政府办公室","正常"
"893","1405810002","高平市人民政府门户网站","http://www.sxgp.gov.cn/","高平市人民政府办公室","正常"
"894","1406000001","朔州市交通运输局网站","http://jtj.shuozhou.gov.cn/","朔州市交通运输局","正常"
"895","1406000002","朔州市审计局网站","http://sjj.shuozhou.gov.cn/","朔州市审计局","正常"
"896","1406000007","朔州市文化和旅游局网站","http://whj.shuozhou.gov.cn/","朔州市文化和旅游局","正常"
"897","1406000008","朔州市规划和自然资源局网站","http://gtj.shuozhou.gov.cn/","朔州市规划和自然资源局","正常"
"898","1406000010","朔州市民政局网站","http://mzj.shuozhou.gov.cn/","朔州市民政局","正常"
"899","1406000011","朔州市财政局网站","http://czj.shuozhou.gov.cn","朔州市财政局","正常"
"900","1406000012","朔州市能源局网站","http://mtj.shuozhou.gov.cn/","朔州市能源局","正常"
"901","1406000014","朔州市生态环境局网站","http://hbj.shuozhou.gov.cn/","朔州市生态环境局","正常"
"902","1406000016","朔州市应急管理局网站","http://ajj.shuozhou.gov.cn/","朔州市应急管理局","正常"
"903","1406000018","朔州市公安局网站","http://gaj.shuozhou.gov.cn","朔州市公安局政治部","正常"
"904","1406000019","朔州市发展和改革委员会网站","http://fgw.shuozhou.gov.cn/","朔州市发展和改革委员会","正常"
"905","1406000020","朔州市人民政府门户网站","http://www.shuozhou.gov.cn/","朔州市人民政府办公室","正常"
"906","1406000024","朔州市教育局网站","http://edu.shuozhou.gov.cn/","朔州市教育局","正常"
"907","1406000026","朔州市统计局网站","http://sztj.shuozhou.gov.cn/","朔州市统计局","正常"
"908","1406000027","朔州市科学技术局网站","http://szkj.shuozhou.gov.cn/","朔州市科学技术局","正常"
"909","1406000028","朔州市住房和城乡建设局网站","http://zjj.shuozhou.gov.cn","朔州市住房和城乡建设局","正常"
"910","1406000029","朔州市司法局网站","http://sfj.shuozhou.gov.cn/","朔州市司法局","正常"
"911","1406000030","全国公共资源交易平台（山西省•朔州市）","http://szggzy.shuozhou.gov.cn","朔州市行政审批服务管理局","正常"
"912","1406000031","信用中国（山西朔州）","http://credit.shuozhou.gov.cn","朔州市发展和改革委员会","正常"
"913","1406020003","朔州市朔城区人民政府门户网站","http://www.szscq.gov.cn","朔城区人民政府办公室","正常"
"914","1406030001","朔州市平鲁区人民政府门户网站","http://www.szpinglu.gov.cn","朔州市平鲁区人民政府办公室","正常"
"915","1406210001","山阴县人民政府门户网站","http://www.shanyin.gov.cn","山阴县人民政府办公室","正常"
"916","1406220002","应县人民政府门户网站","http://www.yingxian.gov.cn","应县人民政府办公室","正常"
"917","1406230003","右玉县人民政府门户网站","http://www.youyuzf.gov.cn/","右玉县人民政府办公室","正常"
"918","1406240003","怀仁市人民政府门户网站","http://zghr.gov.cn/","怀仁市人民政府办公室","正常"
"919","1407000002","晋中市文化和旅游局网站","http://wlj.sxjz.gov.cn","晋中市文化和旅游局","正常"
"920","1407000004","晋中市水利局网站","http://shuili.sxjz.gov.cn/","晋中市水利局","正常"
"921","1407000006","晋中市人民防空办公室网站","http://rfb.sxjz.gov.cn/","晋中市人民防空办公室","正常"
"922","1407000008","晋中市人力资源和社会保障局网站","http://rsj.sxjz.gov.cn","晋中市人力资源和社会保障局","正常"
"923","1407000009","晋中市卫生健康委员会网站","http://wjw.sxjz.gov.cn/","晋中市卫生和计划生育委员会","正常"
"924","1407000012","晋中市人民政府门户网站","http://www.sxjz.gov.cn","晋中市数字政府服务中心","正常"
"925","1407000016","晋中市乡村振兴局网站","https://xczxj.sxjz.gov.cn/","晋中市乡村振兴局","正常"
"926","1407000017","晋中市商务局网站","http://swj.sxjz.gov.cn/","晋中市商务局","正常"
"927","1407000021","晋中市发展和改革委员会网站","http://fgw.sxjz.gov.cn/","晋中市发展和改革委员会","正常"
"928","1407000026","晋中市公安局审批服务“一网通一次办”平台网站","http://gaj.sxjz.gov.cn/","晋中市公安局政治部群众工作指导处","正常"
"929","1407000027","晋中市市场监督管理局(知识产权局）网站","http://scj.sxjz.gov.cn/","晋中市市场监督管理局","正常"
"930","1407000028","晋中市财政局网站","http://czj.sxjz.gov.cn","晋中市财政局","正常"
"931","1407000029","晋中市能源局网站","http://nyj.sxjz.gov.cn/","晋中市能源局","正常"
"932","1407000030","晋中市科学技术局网站","http://kjj.sxjz.gov.cn/","晋中市科学技术局","正常"
"933","1407000031","晋中市应急管理局网站","http://yjglj.sxjz.gov.cn/","晋中市应急管理局","正常"
"934","1407000032","晋中市交通运输局网站","http://jtj.sxjz.gov.cn/","晋中市交通运输局","正常"
"935","1407000033","晋中市体育局网站","http://tyj.sxjz.gov.cn","晋中市体育局","正常"
"936","1407000034","晋中市教育局网站","http://jyj.sxjz.gov.cn","山西省晋中市教育局","正常"
"937","1407000035","晋中市生态环境局网站","http://sthjj.sxjz.gov.cn/","晋中市生态环境局","正常"
"938","1407000037","晋中市规划和自然资源局网站","http://ghhzrzyj.sxjz.gov.cn","晋中市规划和自然资源局","正常"
"939","1407000040","晋中市住房和城乡建设局网站","http://zjj.sxjz.gov.cn/","晋中市住房和城乡建设局","正常"
"940","1407000042","晋中市民政局网站","http://mzj.sxjz.gov.cn/","晋中市民政局","正常"
"941","1407000043","晋中市司法局网站","http://sfj.sxjz.gov.cn/","晋中市司法局","正常"
"942","1407000044","晋中市统计局网站","http://tjj.sxjz.gov.cn","晋中市统计局","正常"
"943","1407000045","山西转型综合改革示范区晋中开发区网站","http://jzkfq.sxjz.gov.cn/","山西转型综改示范区 晋中开发区管委会","正常"
"944","1407000046","晋中市城市管理局网站","http://cgj.sxjz.gov.cn/","晋中市城市管理局","正常"
"945","1407000048","晋中市农业农村局网站","http://nyncj.sxjz.gov.cn/","晋中市农业农村局","正常"
"946","1407000049","晋中市工业和信息化局网站","http://gxj.sxjz.gov.cn","晋中市工业和信息化局","正常"
"947","1407000050","信用晋中","http://credit.sxjz.gov.cn","晋中市发展和改革委员会","正常"
"948","1407000054","晋中市信访局网站","http://xfj.sxjz.gov.cn/","晋中市人民政府办公室","正常"
"949","1407000055","晋中国家农高区管委会门户网站","http://ng.sxjz.gov.cn/","晋中国家农高区管委会综合办公室","正常"
"950","1407020006","榆次区政府门户网站","http://www.yuci.gov.cn/","榆次区人民政府办公室","正常"
"951","1407210003","榆社县人民政府门户网站","http://www.yushe.gov.cn","榆社县人民政府办公室","正常"
"952","1407220009","左权县人民政府门户网站","http://www.jzzq.gov.cn/","左权县人民政府办公室 ","正常"
"953","1407230002","和顺县人民政府门户网站","http://www.heshun.gov.cn/","和顺县数字政府服务中心","正常"
"954","1407240002","昔阳县人民政府门户网站","https://www.xiyang.gov.cn","昔阳县人民政府办公室","正常"
"955","1407250001","寿阳县人民政府门户网站","http://www.shouyang.gov.cn","寿阳县人民政府办公室","正常"
"956","1407260009","太谷区人民政府门户网站","http://www.taigu.gov.cn","太谷区人民政府办公室","正常"
"957","1407270011","祁县人民政府门户网站","http://www.qixian.gov.cn","祁县数字政府服务中心","正常"
"958","1407280031","平遥县人民政府门户网站","http://www.pingyao.gov.cn","平遥县人民政府办公室","正常"
"959","1407290014","灵石县人民政府门户网站","http://www.lingshi.gov.cn/","灵石县人民政府办公室 ","正常"
"960","1407810019","介休市人民政府门户网站","http://www.jiexiu.gov.cn","介休市人民政府办公室","正常"
"961","1408000001","新绛县人民政府门户网站","http://www.jiangzhou.gov.cn","新绛县人民政府办公室","正常"
"962","1408000002","运城市人民政府门户网站","https://www.yuncheng.gov.cn/","运城市人民政府办公室","正常"
"963","1408000007","绛县人民政府门户网站","http://www.jiangxian.gov.cn","绛县人民政府办公室","正常"
"964","1408000008","运城市卫生健康委员会","https://wsjkw.yuncheng.gov.cn","运城市卫生健康委员会","正常"
"965","1408000015","运城市市场监督管理局网站","https://scjgj.yuncheng.gov.cn/","运城市市场监督管理局","正常"
"966","1408000016","运城市规划和自然资源局网站","https://ghhzrzyj.yuncheng.gov.cn","运城市规划和自然资源局","正常"
"967","1408000017","运城市工业和信息化局（国资委）","https://gxj.yuncheng.gov.cn/","运城市工业和信息化局","正常"
"968","1408000018","稷山县人民政府门户网站","http://www.jishan.gov.cn/","稷山县人民政府办公室","正常"
"969","1408000021","运城市教育局网站","https://jyj.yuncheng.gov.cn/","运城市教育局","正常"
"970","1408000025","运城市民政局网站","https://mzj.yuncheng.gov.cn","运城市民政局","正常"
"971","1408000028","运城市发展和改革委员会(运城市粮食和物资储备局)网站","https://fgw.yuncheng.gov.cn/","运城市发展和改革委员会(运城市粮食和物资储备局)","正常"
"972","1408000033","运城市生态环境局门户网站","https://sthjj.yuncheng.gov.cn","运城市生态环境局","正常"
"973","1408000034","运城市住房和城乡建设局网站","https://zjj.yuncheng.gov.cn","运城市住房和城乡建设局","正常"
"974","1408000040","运城市公安局","http://gaj.yuncheng.gov.cn","运城市公安局","正常"
"975","1408000041","运城市文化和旅游局网站","https://wlj.yuncheng.gov.cn/","运城市文化和旅游局","正常"
"976","1408000043","运城市应急管理局网站","https://yjj.yuncheng.gov.cn","运城市应急管理局","正常"
"977","1408000056","全国公共资源交易平台（山西省·运城市）","http://ggzyjyzx.yuncheng.gov.cn","运城市公共资源交易中心（运城市政府采购中心）","正常"
"978","1408000059","信用中国（山西运城）","https://credit.yuncheng.gov.cn","运城市发展和改革委员会","正常"
"979","1408020004","盐湖区人民政府门户网站","http://www.yanhu.gov.cn","盐湖区人民政府办公室","正常"
"980","1408210002","临猗县人民政府门户网站","http://www.sxly.gov.cn/","临猗县人民政府办公室","正常"
"981","1408220005","万荣县人民政府门户网站","http://www.wanrong.gov.cn","万荣县人民政府办公室","正常"
"982","1408230016","闻喜县人民政府门户网站","http://www.wenxi.gov.cn","闻喜县人民政府办公室","正常"
"983","1408270001","垣曲县人民政府门户网站","http://www.yuanqu.gov.cn/","垣曲县人民政府办公室","正常"
"984","1408280008","夏县人民政府门户网站","http://www.sxxiaxian.gov.cn/","夏县人民政府办公室","正常"
"985","1408290001","平陆县人民政府门户网站","http://www.pinglu.gov.cn","平陆县人民政府办公室","正常"
"986","1408300002","芮城县人民政府门户网站","http://www.rcx.gov.cn","芮城县人民政府办公室","正常"
"987","1408810058","永济市人民政府门户网站","http://www.yongji.gov.cn","永济市人民政府办公室","正常"
"988","1408820001","河津市人民政府门户网站","http://www.sxhj.gov.cn","河津市人民政府办公室","正常"
"989","1409000001","忻州市交通运输局网站","https://jtj.sxxz.gov.cn/","忻州市交通运输局","正常"
"990","1409000004","忻州市卫生健康委员会网站","https://wjw.sxxz.gov.cn/","忻州市卫生健康委员会","正常"
"991","1409000005","忻州市农业农村局网站","https://nyncj.sxxz.gov.cn","忻州市农业农村局","正常"
"992","1409000008","忻州市人力资源和社会保障局网站","https://rsj.sxxz.gov.cn/","忻州市人力资源和社会保障局","正常"
"993","1409000009","忻州市规划和自然资源局网站","https://zrzyj.sxxz.gov.cn","忻州市规划和自然资源局","正常"
"994","1409000010","忻州市科学技术局网站","https://kjj.sxxz.gov.cn","忻州市科学技术局","正常"
"995","1409000014","忻州市审计局网站","https://sjj.sxxz.gov.cn","忻州市审计局","正常"
"996","1409000016","忻州市发展和改革委员会网站","https://fgw.sxxz.gov.cn/","忻州市发展和改革委员会","正常"
"997","1409000017","忻州市财政局网站","https://czj.sxxz.gov.cn/","忻州市财政局","正常"
"998","1409000019","忻州市文化和旅游局网站","https://lfw.sxxz.gov.cn","忻州市文化和旅游局","正常"
"999","1409000021","忻州市生态环境局网站","https://sthjj.sxxz.gov.cn/","忻州市生态环境局   ","正常"
"1000","1409000026","忻州市工业和信息化局网站","https://gxj.sxxz.gov.cn","忻州市工业和信息化局","正常"
"1001","1409000028","忻州市教育局网站","https://jyj.sxxz.gov.cn","山西省忻州市教育局","正常"
"1002","1409000030","忻州市公安局网站","http://gaj.sxxz.gov.cn","忻州市公安局政治部","正常"
"1003","1409000031","忻州市统计局网站","https://tjj.sxxz.gov.cn/","忻州市统计局","正常"
"1004","1409000032","忻州市市场监督管理局网站","https://scj.sxxz.gov.cn","忻州市市场监督管理局","正常"
"1005","1409000041","忻州市人民政府门户网站","https://www.sxxz.gov.cn","忻州市人民政府办公室","正常"
"1006","1409000042","忻州市住房和城乡建设局网站","https://zjj.sxxz.gov.cn/","忻州市住房和城乡建设局","正常"
"1007","1409000043","忻州经济开发区管理委员会网站","http://kfq.sxxz.gov.cn/","忻州经济开发区管理委员会","正常"
"1008","1409000044","忻州市司法局网站","https://sfj.sxxz.gov.cn/","忻州市司法局","正常"
"1009","1409000045","五台山风景名胜区管理委员会网站","https://wts.sxxz.gov.cn","五台山风景名胜区管理委员会","正常"
"1010","1409000047","忻州市住房公积金管理中心","https://xzgjj.sxxz.gov.cn/","忻州市住房公积金管理中心","正常"
"1011","1409000048","忻州市应急管理局网站","https://yjj.sxxz.gov.cn/","忻州市应急管理局","正常"
"1012","1409000049","全国公共资源交易平台（山西省•忻州市）","http://ggzyjy.sxxz.gov.cn","忻州市行政审批服务管理局","正常"
"1013","1409000050","忻州市能源局网站","https://nyj.sxxz.gov.cn","忻州市政府","正常"
"1014","1409000051","忻州市体育局网站"," https://tyj.sxxz.gov.cn/","忻州市人民政府","正常"
"1015","1409000052","忻州市退役军人事务局网站","https://jrswj.sxxz.gov.cn","山西省忻州市人民政府办公室","正常"
"1016","1409000054","忻州市人民防空办公室网站","https://rfb.sxxz.gov.cn/","忻州市人民政府办公室","正常"
"1017","1409000055","忻州市民政局网站","https://mzj.sxxz.gov.cn/","忻州市人民政府","正常"
"1018","1409000056","忻州市水利局网站","https://slj.sxxz.gov.cn/","忻州市人民政府","正常"
"1019","1409000057","忻州市乡村振兴局","https://fpb.sxxz.gov.cn","忻州市人民政府","正常"
"1020","1409000058","忻州市人民政府外事办公室网站","https://wsb.sxxz.gov.cn/","忻州市人民政府","正常"
"1021","1409000059","忻州市医疗保障局网站","https://ybj.sxxz.gov.cn","忻州市人民政府办公厅","正常"
"1022","1409000060","忻州市行政审批服务管理局（忻州市政务信息管理局）网站","https://xzspj.sxxz.gov.cn","忻州市人民政府","正常"
